company_id,company_name,a_code,h_code,a_exchange,a_ticker,h_ticker,industry,status,source,updated_at
AH_601211_02611,国泰海通,601211,02611,SH,601211.SS,02611.HK,证券与金融,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_300661_03661,圣邦股份,300661,03661,SZ,300661.SZ,03661.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600699_00699,均胜电子,600699,00699,SH,600699.SS,00699.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_002747_02715,埃斯顿,002747,02715,SZ,002747.SZ,02715.HK,汽车与装备,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688505_01349,复旦张江,688505,01349,SH,688505.SS,01349.HK,医药医疗,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688385_01385,复旦微电,688385,01385,SH,688385.SS,01385.HK,科技电子,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600196_02196,复星医药,600196,02196,SH,600196.SS,02196.HK,医药医疗,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600635_01635,大众公用,600635,01635,SH,600635.SS,01635.HK,房地产与公用,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601991_00991,大唐发电,601991,00991,SH,601991.SS,00991.HK,能源电力,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_301200_03200,大族数控,301200,03200,SZ,301200.SZ,03200.HK,科技电子,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_002487_01081,大金重工,002487,01081,SZ,002487.SZ,01081.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688234_02631,天岳先进,688234,02631,SH,688234.SS,02631.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_002466_09696,天齐锂业,002466,09696,SZ,002466.SZ,09696.HK,有色与材料,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_300750_03750,宁德时代,300750,03750,SZ,300750.SZ,03750.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600377_00177,宁沪高速,600377,00177,SH,600377.SS,00177.HK,交通运输,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_603345_02648,安井食品,603345,02648,SH,603345.SS,02648.HK,消费,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_300866_00668,安克创新,300866,00668,SZ,300866.SZ,00668.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_605198_02218,安德利,605198,02218,SH,605198.SS,02218.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_002490_00568,山东墨龙,002490,00568,SZ,002490.SZ,00568.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600547_01787,山东黄金,600547,01787,SH,600547.SS,01787.HK,有色与材料,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688279_01304,峰岹科技,688279,01304,SH,688279.SS,01304.HK,科技电子,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601398_01398,工商银行,601398,01398,SH,601398.SS,01398.HK,银行,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_000776_01776,广发证券,000776,01776,SZ,000776.SZ,01776.HK,证券与金融,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_001389_01989,广合科技,001389,01989,SZ,001389.SZ,01989.HK,科技电子,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_300638_00638,广和通,300638,00638,SZ,300638.SZ,00638.HK,科技电子,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601238_02238,广汽集团,601238,02238,SH,601238.SS,02238.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601333_00525,广深铁路,601333,00525,SH,601333.SS,00525.HK,交通运输,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688185_06185,康希诺,688185,06185,SH,688185.SS,06185.HK,医药医疗,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_300759_03759,康龙化成,300759,03759,SZ,300759.SZ,03759.HK,医药医疗,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601939_00939,建设银行,601939,00939,SH,601939.SS,00939.HK,银行,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_001236_03678,弘业期货,001236,03678,SZ,001236.SZ,03678.HK,证券与金融,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600276_01276,恒瑞医药,600276,01276,SH,600276.SS,01276.HK,医药医疗,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600999_06099,招商证券,600999,06099,SH,600999.SS,06099.HK,证券与金融,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
